class,DynaMOSA,pDynaMOSA,p-value,d,magnitude
com.soops.CEN4010.JMCA.JParser.JavaCharStream,618758845.024,632976593.0,2.1958905147044199e-44,0.31953000000000004,medium
org.databene.jdbacl.DBUtil,5955920.0,2977968.0,1.0,1.0,large
org.databene.jdbacl.SQLUtil,5955920.0,5955920.0,,0.5,negligible
com.pmdesigns.jvc.tools.JVCParser,246552197.112,211621532.624,0.0,1.0,large
com.pmdesigns.jvc.tools.JVCParserTokenManager,316178160.32,304445050.504,0.0,1.0,large
org.jsecurity.web.DefaultWebSecurityManager,406114218.648,405339614.12,3.773810713182429e-05,0.5532145,negligible
org.mozilla.javascript.Parser,328466866.304,304832184.504,3.3047360389002762e-249,0.935387,large
umd.cs.shop.JSJshop,220571542.98400003,202906284.904,0.0,1.0,large
umd.cs.shop.JSState,226479815.936,202501281.624,0.0,1.0,large
org.apache.bcel.classfile.Utility,2047109572.688,2714280595.24,1.2909222459136194e-57,0.293397,medium
org.apache.bcel.verifier.structurals.InstConstraintVisitor,1958958560.416,1910379295.112,1.5760612905188999e-07,0.43229,negligible
net.kencochrane.a4j.DAO.Product,18165557.424,29857028.296,0.0,0.0,large
org.firebirdsql.encodings.EncodingFactory,360411263.856,356320740.856,2.70751744761634e-18,0.387358,small
org.firebirdsql.jdbc.FBCachedFetcher,220179348.816,182715225.976,7.192160633109695e-142,0.8265979999999999,large
org.firebirdsql.jdbc.FBProcedureCall,349593889.144,321398168.16,0.0,1.0,large
com.alibaba.fastjson.JSONArray,652108308.736,728622376.832,1.49365185549103e-33,0.344118,small
com.alibaba.fastjson.parser.DefaultJSONParser,587820375.176,592843281.584,2.77489993711203e-11,0.414023,small
com.alibaba.fastjson.parser.JSONLexerBase,2158591901.488,995207412.888,2.480467361308577e-281,0.96283,large
com.alibaba.fastjson.parser.JSONReaderScanner,304053108.2,255244696.016,4.277011581637146e-234,0.921863,large
com.alibaba.fastjson.serializer.StringCodec,162981932.336,122973842.56,0.0,1.0,large
com.alibaba.fastjson.util.ASMUtils,131030241.512,131030241.912,0.172835999819492,0.4904335,negligible
us.codecraft.webmagic.Spider,364378447.768,385302360.568,3.0618533361374276e-102,0.222772,large
us.codecraft.webmagic.model.PageModelExtractor,113162481.392,113162481.016,0.0200884435377954,0.5142329999999999,negligible
us.codecraft.webmagic.utils.DoubleKeyMap,136986160.264,131030240.288,0.0,1.0,large
okio.Okio,253460791.144,220637871.888,0.0,1.0,large
okio.RealBufferedSource,441526717.304,465713761.704,1.0875190147609594e-126,0.190817,large
okio.Segment,178677601.54400003,160809841.34399998,0.0,1.0,large
okio.SegmentedByteString,364140306.992,344014803.296,3.495239350999738e-139,0.8243020000000001,large
okio.Timeout,196545362.016,184633521.76,0.0,1.0,large
okio.Utf8,65515121.86399999,53603281.512,0.0,1.0,large
org.apache.commons.math3.ode.AbstractIntegrator,178977209.072,190167317.008,2.510854800506308e-227,0.084337,large
org.apache.commons.math3.ode.MultistepIntegrator,125382794.728,126069892.832,1.2191029420675199e-11,0.4129765,small
org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator,125658010.408,131417429.72,2.9316541906550567e-292,0.0325985,large
org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator,368884519.568,215438671.28,0.0,1.0,large
org.apache.commons.imaging.common.itu_t4.T4AndT6Compression,776970020.8080001,729631730.272,0.0,1.0,large
org.apache.commons.imaging.common.mylzw.MyLzwCompressor,35735521.151999995,41691441.056,0.0,0.0,large
org.apache.commons.imaging.common.mylzw.MyLzwDecompressor,89696160.216,59636628.84800001,0.0,1.0,large
org.apache.commons.jxpath.ri.compiler.Path,252521081.424,201256411.512,0.0,0.9930335,large
org.apache.commons.jxpath.ri.model.beans.PropertyIterator,201440138.824,189257550.70400003,8.254660878563817e-305,0.981895,large
com.google.gson.internal.LinkedHashTreeMap,319720166.768,294795505.536,0.0,1.0,large
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,77504388.192,83609206.896,0.0,0.012246,large
org.freehep.math.minuit.MnAlgebraicSymMatrix,196545347.216,202473946.928,0.0,0.0,large
org.freehep.math.minuit.MnFunctionCross,161316098.544,131411423.464,0.0,1.0,large
org.freehep.math.minuit.MnLineSearch,107337595.264,95955830.872,0.0,1.0,large
org.freehep.math.minuit.SimplexBuilder,155073162.488,131607969.512,0.0,1.0,large
org.la4j.decomposition.EigenDecompositor,119845031.752,66039244.81600001,0.0,1.0,large
org.la4j.decomposition.SingularValueDecompositor,74419231.936,59595516.49600001,0.0,1.0,large
org.la4j.linear.ForwardBackSubstitutionSolver,95431708.32,65562768.408,0.0,1.0,large
org.la4j.linear.GaussianSolver,108064220.64,71703323.97600001,0.0,1.0,large
org.la4j.matrix.sparse.CRSMatrix,1029732224.456,684266304.008,1.4161366806203183e-270,0.953826,large
org.la4j.vector.sparse.CompressedVector,361266495.448,305288141.984,2.4350054487915874e-217,0.906343,large
com.google.re2j.Compiler,148898001.92,148898002.11200002,0.933009531869668,0.499375,negligible
com.google.re2j.Parser,289348252.216,265267786.488,0.0,0.999949,large
com.google.re2j.Simplify,65532989.2,71471041.36,0.0,0.002931,large
com.google.re2j.Utils,331111817.31200004,333869213.952,8.70610503639063e-291,0.0294995,large
okhttp3.internal.http.HttpHeaders,248862918.26400003,244626632.488,1.4114293618925693e-57,0.706531,medium
okhttp3.internal.tls.DistinguishedNameParser,29779601.712,23823681.832,0.0,1.0,large
okhttp3.internal.tls.OkHostnameVerifier,71661631.848,65515121.16,0.0,1.0,large
org.apache.commons.imaging.formats.bmp.BmpImageParser,228556097.816,186023392.96,0.0,1.0,large
org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase,209620557.584,235289617.664,4.467259043632168e-145,0.176216,large
weka.classifiers.rules.JRip,298070116.528,267035255.64,3.987708129175286e-258,0.943157,large
weka.core.Optimization,125235132.528,113293512.752,0.0,1.0,large
weka.filters.unsupervised.attribute.Discretize,344074545.76,345634600.90400004,1.632386532156629e-123,0.19478,large
